t,gamma,sigma
1.796875000000000000e-01,8.675422661379537104e-01,4.337711330689768374e+01
1.835937500000000000e-01,8.671574946436970688e-01,4.335787473218485388e+01
1.875000000000000000e-01,8.664770176565232962e-01,4.332385088282616437e+01
1.914062500000000000e-01,8.655510993865478397e-01,4.327755496932739021e+01
1.953125000000000000e-01,8.644286535540375294e-01,4.322143267770187691e+01
1.992187500000000000e-01,8.631569518803599017e-01,4.315784759401799420e+01
2.031250000000000000e-01,8.617813431076620789e-01,4.308906715538310550e+01
2.070312500000000000e-01,8.603449840848798047e-01,4.301724920424398846e+01
2.109375000000000000e-01,8.588885843913001139e-01,4.294442921956500925e+01
2.148437500000000000e-01,8.574501658945377081e-01,4.287250829472688451e+01
2.187500000000000000e-01,8.560648385578486508e-01,4.280324192789242943e+01
2.226562500000000000e-01,8.547645937226344692e-01,4.273822968613172435e+01
2.265625000000000000e-01,8.535781159962645415e-01,4.267890579981322929e+01
2.304687500000000000e-01,8.525306147734991180e-01,4.262653073867495834e+01
2.343750000000000000e-01,8.516436763123654829e-01,4.258218381561827215e+01
2.382812500000000000e-01,8.509351371729109159e-01,4.254675685864554424e+01
2.421875000000000000e-01,8.504189797104553250e-01,4.252094898552276447e+01
2.460937500000000000e-01,8.501052501944007522e-01,4.250526250972004050e+01
2.500000000000000000e-01,8.499999999999999778e-01,4.250000000000000000e+01
2.539062500000000000e-01,8.501052501944007522e-01,4.250526250972004050e+01
2.578125000000000000e-01,8.504189797104553250e-01,4.252094898552276447e+01
2.617187500000000000e-01,8.509351371729109159e-01,4.254675685864554424e+01
2.656250000000000000e-01,8.516436763123655940e-01,4.258218381561827925e+01
2.695312500000000000e-01,8.525306147734991180e-01,4.262653073867495834e+01
2.734375000000000000e-01,8.535781159962645415e-01,4.267890579981322929e+01
2.773437500000000000e-01,8.547645937226344692e-01,4.273822968613172435e+01
2.812500000000000000e-01,8.560648385578486508e-01,4.280324192789242943e+01
2.851562500000000000e-01,8.574501658945377081e-01,4.287250829472688451e+01
2.890625000000000000e-01,8.588885843913001139e-01,4.294442921956500925e+01
2.929687500000000000e-01,8.603449840848798047e-01,4.301724920424398846e+01
2.968750000000000000e-01,8.617813431076620789e-01,4.308906715538310550e+01
3.007812500000000000e-01,8.631569518803599017e-01,4.315784759401799420e+01
3.046875000000000000e-01,8.644286535540375294e-01,4.322143267770187691e+01
3.085937500000000000e-01,8.655510993865478397e-01,4.327755496932739021e+01
3.125000000000000000e-01,8.664770176565231852e-01,4.332385088282615726e+01
3.164062500000000000e-01,8.671574946436969578e-01,4.335787473218484678e+01
3.203125000000000000e-01,8.675422661379538214e-01,4.337711330689769085e+01
3.242187500000000000e-01,8.675800178814701002e-01,4.337900089407350634e+01
3.281250000000000000e-01,8.672186932989209840e-01,4.336093466494605053e+01
3.320312500000000000e-01,8.664058068302745719e-01,4.332029034151372571e+01
3.359375000000000000e-01,8.650887611493847107e-01,4.325443805746923687e+01
3.398437500000000000e-01,8.632151665295895171e-01,4.316075832647947408e+01
3.437500000000000000e-01,8.607331606049646311e-01,4.303665803024823333e+01
3.476562500000000000e-01,8.575917267728184745e-01,4.287958633864092661e+01
3.515625000000000000e-01,8.537410094894778423e-01,4.268705047447389234e+01
3.554687500000000000e-01,8.491326247273548455e-01,4.245663123636774117e+01
3.593750000000000000e-01,8.437199638866367257e-01,4.218599819433183740e+01
3.632812500000000000e-01,8.374584894895492626e-01,4.187292447447746468e+01
3.671875000000000000e-01,8.303060210288240039e-01,4.151530105144119887e+01
3.710937500000000000e-01,8.222230093945334106e-01,4.111115046972667386e+01
3.750000000000000000e-01,8.131727983645297142e-01,4.065863991822648416e+01
3.789062500000000000e-01,8.031218717130397255e-01,4.015609358565198761e+01
3.828125000000000000e-01,7.920400845691153435e-01,3.960200422845576895e+01
3.867187500000000000e-01,7.799008777412328453e-01,3.899504388706164093e+01
3.906250000000000000e-01,7.666814738158986842e-01,3.833407369079493776e+01
3.945312500000000000e-01,7.523630539361565450e-01,3.761815269680782592e+01
3.984375000000000000e-01,7.369309142698865500e-01,3.684654571349432928e+01
4.023437500000000000e-01,7.203746012871614646e-01,3.601873006435807412e+01
4.062500000000000000e-01,7.026880250800866534e-01,3.513440125400433089e+01
4.101562500000000000e-01,6.838695500769036428e-01,3.419347750384518037e+01
4.140625000000000000e-01,6.639220626239976664e-01,3.319610313119988376e+01
4.179687500000000000e-01,6.428530150342147698e-01,3.214265075171073960e+01
4.218750000000000000e-01,6.206744458268274034e-01,3.103372229134136973e+01
4.257812500000000000e-01,5.974029760129480060e-01,2.987014880064739941e+01
4.296875000000000000e-01,5.730597814094636755e-01,2.865298907047318266e+01
4.335937500000000000e-01,5.476705410939454177e-01,2.738352705469727155e+01
4.375000000000000000e-01,5.212653622417828814e-01,2.606326811208914407e+01
4.414062500000000000e-01,4.938786817143157037e-01,2.469393408571578519e+01
4.453125000000000000e-01,4.655491448922611797e-01,2.327745724461306054e+01
4.492187500000000000e-01,4.363194623716289411e-01,2.181597311858144650e+01
4.531250000000000000e-01,4.062362452588730299e-01,2.031181226294365061e+01
4.570312500000000000e-01,3.753498199176185102e-01,1.876749099588092662e+01
4.609375000000000000e-01,3.437140231303167925e-01,1.718570115651584018e+01
4.648437500000000000e-01,3.113859787439641758e-01,1.556929893719820868e+01
4.687500000000000000e-01,2.784258569690689633e-01,1.392129284845344728e+01
4.726562500000000000e-01,2.448966175947687729e-01,1.224483087973843887e+01
4.765625000000000000e-01,2.108637384699041939e-01,1.054318692349520958e+01
4.804687500000000000e-01,1.763949306794645733e-01,8.819746533973228608e+00
4.843750000000000000e-01,1.415598419177303557e-01,7.077992095886517454e+00
4.882812500000000000e-01,1.064297496231982609e-01,5.321487481159913102e+00
4.921875000000000000e-01,7.107724549572221051e-02,3.553862274786110387e+00
4.960937500000000000e-01,3.557591306286259081e-02,1.778795653143129485e+00
5.000000000000000000e-01,1.775737858763662163e-16,8.878689293818310863e-15
5.039062500000000000e-01,-3.557591306286222999e-02,-1.778795653143111499e+00
5.078125000000000000e-01,-7.107724549572186357e-02,-3.553862274786093067e+00
5.117187500000000000e-01,-1.064297496231979279e-01,-5.321487481159896227e+00
5.156250000000000000e-01,-1.415598419177299949e-01,-7.077992095886499690e+00
5.195312500000000000e-01,-1.763949306794642125e-01,-8.819746533973210845e+00
5.234375000000000000e-01,-2.108637384699038886e-01,-1.054318692349519360e+01
5.273437500000000000e-01,-2.448966175947683843e-01,-1.224483087973841933e+01
5.312500000000000000e-01,-2.784258569690686302e-01,-1.392129284845343129e+01
5.351562500000000000e-01,-3.113859787439637872e-01,-1.556929893719818914e+01
5.390625000000000000e-01,-3.437140231303164595e-01,-1.718570115651582242e+01
5.429687500000000000e-01,-3.753498199176182326e-01,-1.876749099588091241e+01
5.468750000000000000e-01,-4.062362452588726414e-01,-2.031181226294363285e+01
5.507812500000000000e-01,-4.363194623716286635e-01,-2.181597311858143229e+01
5.546875000000000000e-01,-4.655491448922608466e-01,-2.327745724461304277e+01
5.585937500000000000e-01,-4.938786817143154262e-01,-2.469393408571577098e+01
5.625000000000000000e-01,-5.212653622417826593e-01,-2.606326811208913341e+01
5.664062500000000000e-01,-5.476705410939450847e-01,-2.738352705469725379e+01
5.703125000000000000e-01,-5.730597814094634534e-01,-2.865298907047317201e+01
5.742187500000000000e-01,-5.974029760129477840e-01,-2.987014880064738875e+01
5.781250000000000000e-01,-6.206744458268271813e-01,-3.103372229134135907e+01
5.820312500000000000e-01,-6.428530150342145477e-01,-3.214265075171072539e+01
5.859375000000000000e-01,-6.639220626239974443e-01,-3.319610313119986955e+01
5.898437500000000000e-01,-6.838695500769034208e-01,-3.419347750384517326e+01
5.937500000000000000e-01,-7.026880250800865424e-01,-3.513440125400432379e+01
5.976562500000000000e-01,-7.203746012871613535e-01,-3.601873006435806701e+01
6.015625000000000000e-01,-7.369309142698863280e-01,-3.684654571349431507e+01
6.054687500000000000e-01,-7.523630539361563230e-01,-3.761815269680781881e+01
6.093750000000000000e-01,-7.666814738158985731e-01,-3.833407369079493066e+01
6.132812500000000000e-01,-7.799008777412326232e-01,-3.899504388706163382e+01
6.171875000000000000e-01,-7.920400845691152325e-01,-3.960200422845576185e+01
6.210937500000000000e-01,-8.031218717130395035e-01,-4.015609358565197340e+01
6.250000000000000000e-01,-8.131727983645297142e-01,-4.065863991822648416e+01
6.289062500000000000e-01,-8.222230093945334106e-01,-4.111115046972667386e+01
6.328125000000000000e-01,-8.303060210288238929e-01,-4.151530105144119176e+01
6.367187500000000000e-01,-8.374584894895490406e-01,-4.187292447447745047e+01
6.406250000000000000e-01,-8.437199638866363927e-01,-4.218599819433181608e+01
6.445312500000000000e-01,-8.491326247273544015e-01,-4.245663123636771985e+01
6.484375000000000000e-01,-8.537410094894781754e-01,-4.268705047447390655e+01
6.523437500000000000e-01,-8.575917267728185855e-01,-4.287958633864092661e+01
6.562500000000000000e-01,-8.607331606049644090e-01,-4.303665803024821912e+01
6.601562500000000000e-01,-8.632151665295896281e-01,-4.316075832647948118e+01
6.640625000000000000e-01,-8.650887611493847107e-01,-4.325443805746923687e+01
6.679687500000000000e-01,-8.664058068302744609e-01,-4.332029034151372571e+01
6.718750000000000000e-01,-8.672186932989209840e-01,-4.336093466494605053e+01
6.757812500000000000e-01,-8.675800178814699892e-01,-4.337900089407349924e+01
6.796875000000000000e-01,-8.675422661379537104e-01,-4.337711330689768374e+01
6.835937500000000000e-01,-8.671574946436968467e-01,-4.335787473218483967e+01
6.875000000000000000e-01,-8.664770176565230742e-01,-4.332385088282615015e+01
6.914062500000000000e-01,-8.655510993865481728e-01,-4.327755496932741153e+01
6.953125000000000000e-01,-8.644286535540376404e-01,-4.322143267770188402e+01
6.992187500000000000e-01,-8.631569518803599017e-01,-4.315784759401799420e+01
7.031250000000000000e-01,-8.617813431076620789e-01,-4.308906715538310550e+01
7.070312500000000000e-01,-8.603449840848798047e-01,-4.301724920424398846e+01
7.109375000000000000e-01,-8.588885843913001139e-01,-4.294442921956500925e+01
7.148437500000000000e-01,-8.574501658945375970e-01,-4.287250829472687741e+01
7.187500000000000000e-01,-8.560648385578485398e-01,-4.280324192789242943e+01
7.226562500000000000e-01,-8.547645937226343582e-01,-4.273822968613171724e+01
7.265625000000000000e-01,-8.535781159962644304e-01,-4.267890579981322219e+01
7.304687500000000000e-01,-8.525306147734992290e-01,-4.262653073867495834e+01
7.343750000000000000e-01,-8.516436763123655940e-01,-4.258218381561827925e+01
7.382812500000000000e-01,-8.509351371729110269e-01,-4.254675685864555135e+01
7.421875000000000000e-01,-8.504189797104553250e-01,-4.252094898552276447e+01
7.460937500000000000e-01,-8.501052501944007522e-01,-4.250526250972004050e+01
7.500000000000000000e-01,-8.499999999999999778e-01,-4.250000000000000000e+01
7.539062500000000000e-01,-8.501052501944007522e-01,-4.250526250972004050e+01
7.578125000000000000e-01,-8.504189797104552140e-01,-4.252094898552275737e+01
7.617187500000000000e-01,-8.509351371729109159e-01,-4.254675685864554424e+01
7.656250000000000000e-01,-8.516436763123655940e-01,-4.258218381561827925e+01
7.695312500000000000e-01,-8.525306147734992290e-01,-4.262653073867495834e+01
7.734375000000000000e-01,-8.535781159962644304e-01,-4.267890579981322219e+01
7.773437500000000000e-01,-8.547645937226344692e-01,-4.273822968613172435e+01
7.812500000000000000e-01,-8.560648385578485398e-01,-4.280324192789242943e+01
7.851562500000000000e-01,-8.574501658945375970e-01,-4.287250829472687741e+01
7.890625000000000000e-01,-8.588885843913000029e-01,-4.294442921956500214e+01
7.929687500000000000e-01,-8.603449840848798047e-01,-4.301724920424398846e+01
7.968750000000000000e-01,-8.617813431076620789e-01,-4.308906715538310550e+01
8.007812500000000000e-01,-8.631569518803599017e-01,-4.315784759401799420e+01
8.046875000000000000e-01,-8.644286535540375294e-01,-4.322143267770187691e+01
8.085937500000000000e-01,-8.655510993865480618e-01,-4.327755496932740442e+01
8.125000000000000000e-01,-8.664770176565230742e-01,-4.332385088282615015e+01
8.164062500000000000e-01,-8.671574946436968467e-01,-4.335787473218483967e+01
8.203125000000000000e-01,-8.675422661379538214e-01,-4.337711330689769085e+01
8.242187500000000000e-01,-8.675800178814699892e-01,-4.337900089407349924e+01
8.281250000000000000e-01,-8.672186932989208730e-01,-4.336093466494604343e+01
8.320312500000000000e-01,-8.664058068302744609e-01,-4.332029034151372571e+01
8.359375000000000000e-01,-8.650887611493848217e-01,-4.325443805746924397e+01
8.398437500000000000e-01,-8.632151665295896281e-01,-4.316075832647948118e+01
8.437500000000000000e-01,-8.607331606049645201e-01,-4.303665803024822623e+01
8.476562500000000000e-01,-8.575917267728185855e-01,-4.287958633864092661e+01
8.515625000000000000e-01,-8.537410094894782864e-01,-4.268705047447391365e+01
8.554687500000000000e-01,-8.491326247273547345e-01,-4.245663123636773406e+01
8.593750000000000000e-01,-8.437199638866361706e-01,-4.218599819433180897e+01
8.632812500000000000e-01,-8.374584894895489295e-01,-4.187292447447744337e+01
8.671875000000000000e-01,-8.303060210288240039e-01,-4.151530105144119887e+01
8.710937500000000000e-01,-8.222230093945335216e-01,-4.111115046972667386e+01
8.750000000000000000e-01,-8.131727983645298252e-01,-4.065863991822649126e+01
8.789062500000000000e-01,-8.031218717130399476e-01,-4.015609358565199472e+01
8.828125000000000000e-01,-7.920400845691152325e-01,-3.960200422845576185e+01
8.867187500000000000e-01,-7.799008777412330673e-01,-3.899504388706165514e+01
8.906250000000000000e-01,-7.666814738158991283e-01,-3.833407369079495908e+01
8.945312500000000000e-01,-7.523630539361569891e-01,-3.761815269680784724e+01
8.984375000000000000e-01,-7.369309142698863280e-01,-3.684654571349431507e+01
9.023437500000000000e-01,-7.203746012871611315e-01,-3.601873006435805991e+01
9.062500000000000000e-01,-7.026880250800866534e-01,-3.513440125400433089e+01
9.101562500000000000e-01,-6.838695500769037539e-01,-3.419347750384518747e+01
9.140625000000000000e-01,-6.639220626239977774e-01,-3.319610313119989087e+01
9.179687500000000000e-01,-6.428530150342148808e-01,-3.214265075171074670e+01
9.218750000000000000e-01,-6.206744458268275144e-01,-3.103372229134137683e+01
9.257812500000000000e-01,-5.974029760129482280e-01,-2.987014880064741007e+01
9.296875000000000000e-01,-5.730597814094642306e-01,-2.865298907047321109e+01
9.335937500000000000e-01,-5.476705410939459728e-01,-2.738352705469729997e+01
9.375000000000000000e-01,-5.212653622417834365e-01,-2.606326811208917249e+01
9.414062500000000000e-01,-4.938786817143153152e-01,-2.469393408571576742e+01
9.453125000000000000e-01,-4.655491448922607356e-01,-2.327745724461303567e+01
9.492187500000000000e-01,-4.363194623716292186e-01,-2.181597311858146071e+01
9.531250000000000000e-01,-4.062362452588731410e-01,-2.031181226294365771e+01
9.570312500000000000e-01,-3.753498199176186767e-01,-1.876749099588093372e+01
9.609375000000000000e-01,-3.437140231303169591e-01,-1.718570115651584729e+01
9.648437500000000000e-01,-3.113859787439641202e-01,-1.556929893719820512e+01
9.687500000000000000e-01,-2.784258569690692964e-01,-1.392129284845346504e+01
9.726562500000000000e-01,-2.448966175947696056e-01,-1.224483087973847972e+01
9.765625000000000000e-01,-2.108637384699048323e-01,-1.054318692349524156e+01
9.804687500000000000e-01,-1.763949306794642957e-01,-8.819746533973214397e+00
9.843750000000000000e-01,-1.415598419177298284e-01,-7.077992095886491697e+00
9.882812500000000000e-01,-1.064297496231977475e-01,-5.321487481159887345e+00
9.921875000000000000e-01,-7.107724549572265460e-02,-3.553862274786132591e+00
9.960937500000000000e-01,-3.557591306286276428e-02,-1.778795653143138145e+00
1.000000000000000000e+00,-3.551475717527324325e-16,-1.775737858763662173e-14
1.003906250000000000e+00,3.557591306286205651e-02,1.778795653143102840e+00
1.007812500000000000e+00,7.107724549572194683e-02,3.553862274786097508e+00
1.011718750000000000e+00,1.064297496231970397e-01,5.321487481159851818e+00
1.015625000000000000e+00,1.415598419177291345e-01,7.077992095886457058e+00
1.019531250000000000e+00,1.763949306794636018e-01,8.819746533973180647e+00
1.023437500000000000e+00,2.108637384699041384e-01,1.054318692349520603e+01
1.027343750000000000e+00,2.448966175947688839e-01,1.224483087973844420e+01
1.031250000000000000e+00,2.784258569690686858e-01,1.392129284845343484e+01
1.035156250000000000e+00,3.113859787439634541e-01,1.556929893719817315e+01
1.039062500000000000e+00,3.437140231303162929e-01,1.718570115651581531e+01
1.042968750000000000e+00,3.753498199176180661e-01,1.876749099588090175e+01
1.046875000000000000e+00,4.062362452588724748e-01,2.031181226294362219e+01
1.050781250000000000e+00,4.363194623716286635e-01,2.181597311858143229e+01
1.054687500000000000e+00,4.655491448922601805e-01,2.327745724461301080e+01
1.058593750000000000e+00,4.938786817143147045e-01,2.469393408571573545e+01
1.062500000000000000e+00,5.212653622417828814e-01,2.606326811208914407e+01
1.066406250000000000e+00,5.476705410939454177e-01,2.738352705469727155e+01
1.070312500000000000e+00,5.730597814094636755e-01,2.865298907047318266e+01
1.074218750000000000e+00,5.974029760129477840e-01,2.987014880064738875e+01
1.078125000000000000e+00,6.206744458268270703e-01,3.103372229134135196e+01
1.082031250000000000e+00,6.428530150342144367e-01,3.214265075171071828e+01
1.085937500000000000e+00,6.639220626239973333e-01,3.319610313119986955e+01
1.089843750000000000e+00,6.838695500769033098e-01,3.419347750384516615e+01
1.093750000000000000e+00,7.026880250800864314e-01,3.513440125400432379e+01
1.097656250000000000e+00,7.203746012871606874e-01,3.601873006435803148e+01
1.101562500000000000e+00,7.369309142698859949e-01,3.684654571349430086e+01
1.105468750000000000e+00,7.523630539361565450e-01,3.761815269680782592e+01
1.109375000000000000e+00,7.666814738158987952e-01,3.833407369079493776e+01
1.113281250000000000e+00,7.799008777412328453e-01,3.899504388706164093e+01
1.117187500000000000e+00,7.920400845691150105e-01,3.960200422845574764e+01
1.121093750000000000e+00,8.031218717130397255e-01,4.015609358565198761e+01
1.125000000000000000e+00,8.131727983645297142e-01,4.065863991822648416e+01
1.128906250000000000e+00,8.222230093945332996e-01,4.111115046972666676e+01
1.132812500000000000e+00,8.303060210288237819e-01,4.151530105144119176e+01
1.136718750000000000e+00,8.374584894895488185e-01,4.187292447447744337e+01
1.140625000000000000e+00,8.437199638866360596e-01,4.218599819433180187e+01
1.144531250000000000e+00,8.491326247273545125e-01,4.245663123636772696e+01
1.148437500000000000e+00,8.537410094894781754e-01,4.268705047447390655e+01
1.152343750000000000e+00,8.575917267728185855e-01,4.287958633864092661e+01
1.156250000000000000e+00,8.607331606049645201e-01,4.303665803024822623e+01
1.160156250000000000e+00,8.632151665295894061e-01,4.316075832647946697e+01
1.164062500000000000e+00,8.650887611493849327e-01,4.325443805746924397e+01
1.167968750000000000e+00,8.664058068302746829e-01,4.332029034151373281e+01
1.171875000000000000e+00,8.672186932989208730e-01,4.336093466494604343e+01
1.175781250000000000e+00,8.675800178814699892e-01,4.337900089407349924e+01
1.179687500000000000e+00,8.675422661379534883e-01,4.337711330689767664e+01
1.183593750000000000e+00,8.671574946436965137e-01,4.335787473218482546e+01
1.187500000000000000e+00,8.664770176565234072e-01,4.332385088282617147e+01
1.191406250000000000e+00,8.655510993865481728e-01,4.327755496932741153e+01
1.195312500000000000e+00,8.644286535540376404e-01,4.322143267770188402e+01
1.199218750000000000e+00,8.631569518803599017e-01,4.315784759401799420e+01
1.203125000000000000e+00,8.617813431076619679e-01,4.308906715538309840e+01
1.207031250000000000e+00,8.603449840848800267e-01,4.301724920424400267e+01
1.210937500000000000e+00,8.588885843913002249e-01,4.294442921956500925e+01
1.214843750000000000e+00,8.574501658945377081e-01,4.287250829472688451e+01
1.218750000000000000e+00,8.560648385578486508e-01,4.280324192789242943e+01
1.222656250000000000e+00,8.547645937226344692e-01,4.273822968613172435e+01
1.226562500000000000e+00,8.535781159962643194e-01,4.267890579981321508e+01
1.230468750000000000e+00,8.525306147734992290e-01,4.262653073867495834e+01
1.234375000000000000e+00,8.516436763123657050e-01,4.258218381561828636e+01
1.238281250000000000e+00,8.509351371729110269e-01,4.254675685864555135e+01
1.242187500000000000e+00,8.504189797104553250e-01,4.252094898552276447e+01
1.246093750000000000e+00,8.501052501944007522e-01,4.250526250972004050e+01
1.250000000000000000e+00,8.499999999999999778e-01,4.250000000000000000e+01
1.253906250000000000e+00,8.501052501944006412e-01,4.250526250972003339e+01
1.257812500000000000e+00,8.504189797104552140e-01,4.252094898552275737e+01
1.261718750000000000e+00,8.509351371729109159e-01,4.254675685864554424e+01
1.265625000000000000e+00,8.516436763123655940e-01,4.258218381561827925e+01
1.269531250000000000e+00,8.525306147734992290e-01,4.262653073867495834e+01
1.273437500000000000e+00,8.535781159962645415e-01,4.267890579981322929e+01
1.277343750000000000e+00,8.547645937226343582e-01,4.273822968613171724e+01
1.281250000000000000e+00,8.560648385578487618e-01,4.280324192789243654e+01
1.285156250000000000e+00,8.574501658945375970e-01,4.287250829472687741e+01
1.289062500000000000e+00,8.588885843913004470e-01,4.294442921956502346e+01
1.292968750000000000e+00,8.603449840848800267e-01,4.301724920424400267e+01
1.296875000000000000e+00,8.617813431076616348e-01,4.308906715538308418e+01
1.300781250000000000e+00,8.631569518803597907e-01,4.315784759401798709e+01
1.304687500000000000e+00,8.644286535540373073e-01,4.322143267770186270e+01
1.308593750000000000e+00,8.655510993865481728e-01,4.327755496932741153e+01
1.312500000000000000e+00,8.664770176565232962e-01,4.332385088282616437e+01
1.316406250000000000e+00,8.671574946436969578e-01,4.335787473218484678e+01
1.320312500000000000e+00,8.675422661379534883e-01,4.337711330689767664e+01
1.324218750000000000e+00,8.675800178814704333e-01,4.337900089407352056e+01
1.328125000000000000e+00,8.672186932989209840e-01,4.336093466494605053e+01
1.332031250000000000e+00,8.664058068302751270e-01,4.332029034151375413e+01
1.335937500000000000e+00,8.650887611493850438e-01,4.325443805746925108e+01
1.339843750000000000e+00,8.632151665295889620e-01,4.316075832647944566e+01
1.343750000000000000e+00,8.607331606049645201e-01,4.303665803024822623e+01
1.347656250000000000e+00,8.575917267728181415e-01,4.287958633864090530e+01
1.351562500000000000e+00,8.537410094894783974e-01,4.268705047447392076e+01
1.355468750000000000e+00,8.491326247273547345e-01,4.245663123636773406e+01
1.359375000000000000e+00,8.437199638866368367e-01,4.218599819433184450e+01
1.363281250000000000e+00,8.374584894895489295e-01,4.187292447447744337e+01
1.367187500000000000e+00,8.303060210288245591e-01,4.151530105144122729e+01
1.371093750000000000e+00,8.222230093945335216e-01,4.111115046972667386e+01
1.375000000000000000e+00,8.131727983645306024e-01,4.065863991822652679e+01
1.378906250000000000e+00,8.031218717130399476e-01,4.015609358565199472e+01
1.382812500000000000e+00,7.920400845691146774e-01,3.960200422845573343e+01
1.386718750000000000e+00,7.799008777412330673e-01,3.899504388706165514e+01
1.390625000000000000e+00,7.666814738158985731e-01,3.833407369079493066e+01
1.394531250000000000e+00,7.523630539361569891e-01,3.761815269680784724e+01
1.398437500000000000e+00,7.369309142698864390e-01,3.684654571349432217e+01
1.402343750000000000e+00,7.203746012871620197e-01,3.601873006435810254e+01
1.406250000000000000e+00,7.026880250800867644e-01,3.513440125400433800e+01
1.410156250000000000e+00,6.838695500769046420e-01,3.419347750384523010e+01
1.414062500000000000e+00,6.639220626239978884e-01,3.319610313119989087e+01
1.417968750000000000e+00,6.428530150342142147e-01,3.214265075171071118e+01
1.421875000000000000e+00,6.206744458268275144e-01,3.103372229134137683e+01
1.425781250000000000e+00,5.974029760129475619e-01,2.987014880064737810e+01
1.429687500000000000e+00,5.730597814094642306e-01,2.865298907047321109e+01
1.433593750000000000e+00,5.476705410939453067e-01,2.738352705469726445e+01
1.437500000000000000e+00,5.212653622417835475e-01,2.606326811208917604e+01
1.441406250000000000e+00,4.938786817143154817e-01,2.469393408571577453e+01
1.445312500000000000e+00,4.655491448922616793e-01,2.327745724461308541e+01
1.449218750000000000e+00,4.363194623716293852e-01,2.181597311858146782e+01
1.453125000000000000e+00,4.062362452588741402e-01,2.031181226294370745e+01
1.457031250000000000e+00,3.753498199176188432e-01,1.876749099588094083e+01
1.460937500000000000e+00,3.437140231303162374e-01,1.718570115651581176e+01
1.464843750000000000e+00,3.113859787439642313e-01,1.556929893719821223e+01
1.468750000000000000e+00,2.784258569690686302e-01,1.392129284845343129e+01
1.472656250000000000e+00,2.448966175947697443e-01,1.224483087973848683e+01
1.476562500000000000e+00,2.108637384699040829e-01,1.054318692349520425e+01
1.480468750000000000e+00,1.763949306794653504e-01,8.819746533973267688e+00
1.484375000000000000e+00,1.415598419177299949e-01,7.077992095886499690e+00
